,Job_title,company,location,skills_required
0,PHP Laravel or Codeigniter Trainees Hiring(Apply only if course certification is done),Axnol Digital Solutions - Full-time,Remote,"PHP,Laravel,Codeigniter"
1,IT PROFESSIONAL,Speridian - Full-time,Remote,Azure Data Factory Oracle SOA RPA Salesforce Developers/Leads Asp.NET developers/Leads DevOps Engineers Java Developers/Leads
2,Full Stack Developer-PHP ( Lead ),Bethel Technology - Full-time,Kochi,"PHP,Codeigniter,PHP Laravel"
3,Angular UI Developer,Cetacean Business Solutions LLP - Full-time,Kochi,"Typescript,JavaScript,Angular 4+,HTML, CSS,SASS"
4,Graphic Designer,Cetacean Business Solutions LLP - Full-time,Kochi,"InDesign,graphic designing,creative designer,Adobe Creative Suite,Illustrator and Photoshop"
5,Sr. Manager - Finance.,JTSI - Full-time,Trivandrum,Management - Finance.
6,ReactJS Developer,Softnotions Technologies Pvt Ltd - Full-time,Trivandrum,"Javascript,RESTful API"
7,Senior Python Developer,Softnotions Technologies Pvt Ltd - Full-time,Trivandrum,"Python,MySQL, Django"
8,REACT JS Developer,Experion Technologies - Full-time,Kochi,"Javascript, Redux"
9,JAVA developer,Experion Technologies - Full-time,Trivandrum,Java
10,System Administrator - Linux & Windows,PIT Solutions Pvt Ltd - Full-time,Trivandrum,System Administrator - Linux & Windows
11,Trainees in Software Testing (Freshers Only),Axnol Digital Solutions - Full-time,Remote,"software tester,software testing,Automation Testing manual,testcase, process and execution ,documenting testcases and deriving test scenarios"
12,.NET Developers (Kochi/Trivandrum),Cetacean Business Solutions LLP - Full-time,Kochi,"Angular,React,Javascript,.NET,C#,SQL,MVC,jQuery,Web API,Entity Framework,NodeJS,OOPS"
13,Senior Ruby on Rails Developer,Planet Media India ( PMIN Agency Private Limited ) - Full-time,Kochi,Ruby on Rails
14,Associate Business Development Consultant,Fingent - Full-time,Kochi,"Business Development,Business Analyst,English communication,Excellent written and oral communication skills"
15,Software Engineer – PHP (Laravel),Fingent - Full-time,Kochi,"PHP,MySQL,Postgre SQL,Laravel,PHP Developer (Laravel)"
